3.5	Eric Goldberg, MD	4840 E Indian School Rd, Ste 101, Phoenix, AZ 85018
4.0	Pine Cone Restaurant	6162 US Highway 51, De Forest, WI 53532
4.0	Deforest Family Restaurant	505 W North St, De Forest, WI 53532
4.5	Culver's	4910 County Rd V, De Forest, WI 53532
4.0	Chang Jiang Chinese Kitchen	631 S Main St, De Forest, WI 53532
1.5	Charter Communications	4156 County Rd B, Mc Farland, WI 53558
2.0	Air Quality Systems	4709 Triangle St, Mc Farland, WI 53558
2.5	McFarland Public Library	5114 Farwell St, Mc Farland, WI 53558
3.5	Green Lantern Restaurant	4412 Siggelkow Rd, Mc Farland, WI 53558
4.5	Spartan Animal Hospital	4811 Larson Beach Rd, Mc Farland, WI 53558
3.5	Beach House Restaurant & Lounge	4506 Larson Beach Rd, Mc Farland, WI 53558
5.0	Parsonage Bed & Breakfast the	5508 Broadhead St, Mc Farland, WI 53558
1.5	Spartan Bowl	4711 Farwell St, Mc Farland, WI 53558
3.5	Spartan Pizza	5813 Main St, Mc Farland, WI 53558
3.5	Main Moon Chinese Restaurant	4850 Larson Beach Rd, Mc Farland, WI 53558
4.0	Crandalls Carryout & Catering	6401 University Ave, Middleton, WI 53562
3.0	Imperial Garden Chinese Restaurant	2039 Allen Blvd, Middleton, WI 53562

